1,10
2,14
3,24
4,60
5,52
6,22
7,15
8,52
9,12
10,19
11,14
12,31
13,27
14,75
15,34
16,20
17,17
18,10
19,19
20,45
21,37
22,39
23,25
24,11
25,92
26,65
27,29
28,11
29,22
30,8
31,13
32,41
33,53
34,59
35,11
36,24
37,23
38,13
39,33
40,16
41,51
42,54
43,44
44,28
45,15
46,46
47,28
48,29
49,7
50,43
51,8
52,19
53,36
54,11
55,50
56,35
57,5
58,4
59,32
60,13
61,9
62,23
63,17
64,27
65,9
66,31
67,20
68,9
69,46
70,14
71,12
72,26
73,38
74,83
75,22
76,22
77,5
78,21
79,28
80,25
81,43
82,31
83,33
84,11
85,36
86,21
87,71
88,30
89,44
90,9
91,68
92,60
93,42
94,24
95,70
96,10
97,23
98,91
99,13
100,52
101,14
102,21
103,56
104,26
105,29
106,19
107,38
108,41
109,66
110,24
111,49
112,25
113,6
114,52
115,16
116,71
117,15
118,25
119,46
120,18
121,13
122,26
123,23
124,25
125,60
126,16
127,64
128,73
129,27
130,10
131,23
132,25
133,100
134,34
135,59
136,15
137,12
138,41
139,64
140,4
141,62
142,17
143,17
144,18
145,10
146,91
147,9
148,51
149,8
150,12
151,18
152,31
153,20
154,58
155,9
156,31
157,26
158,30
159,88
160,11
161,105
162,50
163,33
164,24
165,21
166,38
167,35
168,3
169,12
170,27
171,43
172,51
173,7
174,110
175,24
176,69
177,12
178,22
179,50
180,43
181,28
182,57
183,55
184,35
185,34
186,47
187,54
188,25
189,9
190,13
191,36
192,16
193,23
194,37
195,13
196,34
197,29
198,36
199,72
200,14
201,43
202,48
203,2
204,34
205,27
206,10
207,10
208,5
209,67
210,36
211,16
212,23
213,27
214,12
215,14
216,28
217,18
218,7
219,15
220,16
221,37
222,28
223,15
224,21
225,43
226,40
227,4
228,22
229,76
230,9
231,41
232,15
233,49
234,69
235,33
236,50
237,31
238,12
239,32
240,56
241,42
242,12
243,28
244,36
245,22
246,24
247,46
248,17
249,20
250,32
251,52
252,14
253,10
254,54
255,18
256,41
257,7
258,15
259,30
260,16
261,59
262,49
263,31
264,12
265,13
266,50
267,34
268,34
269,51
270,8
271,12
272,37
273,21
274,26
275,13
276,58
277,50
278,10
279,24
280,6
281,21
282,18
283,17
284,14
285,28
286,52
287,29
288,16
289,13
290,4
291,4
292,7
293,12
294,8
295,6
296,20
297,18
298,6
299,24
300,14
301,33
302,25
303,24
304,18
305,44
306,37
307,11
308,12
309,17
310,8
311,28
312,12
313,30
314,12
315,46
316,20
317,17
318,13
319,54
320,43
321,30
322,30
323,32
324,15
325,40
326,29
327,43
328,49
329,19
330,62
331,9
332,19
333,12
334,20
335,37
336,15
337,23
338,7
339,2
340,77
341,38
342,57
343,13
344,23
345,4
346,41
347,89
348,18
349,23
350,53
351,59
352,26
353,19
354,49
355,58
356,30
357,25
358,56
359,28
360,8
361,23
362,29
363,51
364,24
365,12
